,kw,id,publishTime,viewCount,likeCount,likeratio,viewratio,comment_sentiment
0,food,4QbqQbXSuWA,2020-07-29T20:27:24Z,5717548.0,16.0,8.0,81.25955222751031,
1,range,4QbqQbXSuWA,2020-07-29T20:27:24Z,5717548.0,16.0,8.0,81.25955222751031,
2,price,4QbqQbXSuWA,2020-07-29T20:27:24Z,5717548.0,16.0,8.0,81.25955222751031,
3,product,4QbqQbXSuWA,2020-07-29T20:27:24Z,5717548.0,16.0,8.0,81.25955222751031,
4,choice,4QbqQbXSuWA,2020-07-29T20:27:24Z,5717548.0,16.0,8.0,81.25955222751031,
5,market,4QbqQbXSuWA,2020-07-29T20:27:24Z,5717548.0,16.0,8.0,81.25955222751031,
6,dexter,UOztOU4T-_c,2020-07-28T13:00:08Z,2860851.0,103105.0,155.98335854765506,0.615571819170884,0.041994000000000004
7,episode,UOztOU4T-_c,2020-07-28T13:00:08Z,2860851.0,103105.0,155.98335854765506,0.615571819170884,0.041994000000000004
8,break,UOztOU4T-_c,2020-07-28T13:00:08Z,2860851.0,103105.0,155.98335854765506,0.615571819170884,0.041994000000000004
9,routine,UOztOU4T-_c,2020-07-28T13:00:08Z,2860851.0,103105.0,155.98335854765506,0.615571819170884,0.041994000000000004
10,friend,UOztOU4T-_c,2020-07-28T13:00:08Z,2860851.0,103105.0,155.98335854765506,0.615571819170884,0.041994000000000004
11,need,UOztOU4T-_c,2020-07-28T13:00:08Z,2860851.0,103105.0,155.98335854765506,0.615571819170884,0.041994000000000004
12,morgan,UOztOU4T-_c,2020-07-28T13:00:08Z,2860851.0,103105.0,155.98335854765506,0.615571819170884,0.041994000000000004
13,morning,UOztOU4T-_c,2020-07-28T13:00:08Z,2860851.0,103105.0,155.98335854765506,0.615571819170884,0.041994000000000004
14,website,XXnlVlkkkxM,2020-07-30T13:00:16Z,2466439.0,147247.0,78.78384162653826,0.5307058431578632,0.27667400000000003
15,domain,XXnlVlkkkxM,2020-07-30T13:00:16Z,2466439.0,147247.0,78.78384162653826,0.5307058431578632,0.27667400000000003
16,purchase,XXnlVlkkkxM,2020-07-30T13:00:16Z,2466439.0,147247.0,78.78384162653826,0.5307058431578632,0.27667400000000003
