,kw,id,publishTime,viewCount,likeCount,likeratio,viewratio,comment_sentiment
0,meat,cQWET-A7FQc,2020-08-08T15:30:02Z,7046563.0,111953.0,19.2822941784361,14.199152298513372,0.158368
1,story,cQWET-A7FQc,2020-08-08T15:30:02Z,7046563.0,111953.0,19.2822941784361,14.199152298513372,0.158368
2,recipe,cQWET-A7FQc,2020-08-08T15:30:02Z,7046563.0,111953.0,19.2822941784361,14.199152298513372,0.158368
3,world,cQWET-A7FQc,2020-08-08T15:30:02Z,7046563.0,111953.0,19.2822941784361,14.199152298513372,0.158368
4,champaran,cQWET-A7FQc,2020-08-08T15:30:02Z,7046563.0,111953.0,19.2822941784361,14.199152298513372,0.158368
5,curry,cQWET-A7FQc,2020-08-08T15:30:02Z,7046563.0,111953.0,19.2822941784361,14.199152298513372,0.158368
6,vlogs,xcS1pjML3R8,2020-08-07T17:04:11Z,4988892.0,240626.0,46.7870892475209,0.5007081631157162,0.151306
7,polinesios,xcS1pjML3R8,2020-08-07T17:04:11Z,4988892.0,240626.0,46.7870892475209,0.5007081631157162,0.151306
8,jungle,xcS1pjML3R8,2020-08-07T17:04:11Z,4988892.0,240626.0,46.7870892475209,0.5007081631157162,0.151306
9,pizza,xcS1pjML3R8,2020-08-07T17:04:11Z,4988892.0,240626.0,46.7870892475209,0.5007081631157162,0.151306
10,expert,Itu9SgOS8dw,2020-08-06T07:47:48Z,4794667.0,16.0,8.0,38.22814519800336,0.0
11,philip,Itu9SgOS8dw,2020-08-06T07:47:48Z,4794667.0,16.0,8.0,38.22814519800336,0.0
12,rice,Itu9SgOS8dw,2020-08-06T07:47:48Z,4794667.0,16.0,8.0,38.22814519800336,0.0
13,cooker,Itu9SgOS8dw,2020-08-06T07:47:48Z,4794667.0,16.0,8.0,38.22814519800336,0.0
14,choice,Itu9SgOS8dw,2020-08-06T07:47:48Z,4794667.0,16.0,8.0,38.22814519800336,0.0
15,spongebob,BWgpcnxYelc,2020-08-07T18:15:00Z,4241747.0,269325.0,52.04347826086956,1.2127461590314947,0.20668800000000004
16,life,BWgpcnxYelc,2020-08-07T18:15:00Z,4241747.0,269325.0,52.04347826086956,1.2127461590314947,0.20668800000000004
17,cake,BWgpcnxYelc,2020-08-07T18:15:00Z,4241747.0,269325.0,52.04347826086956,1.2127461590314947,0.20668800000000004
18,food,BWgpcnxYelc,2020-08-07T18:15:00Z,4241747.0,269325.0,52.04347826086956,1.2127461590314947,0.20668800000000004
19,kiwifruit,MlikUkl8K3E,2020-08-05T02:34:42Z,4204349.0,13.0,4.333333333333333,9.74287739174804,0.48655714285714285
