,kw,id,publishTime,viewCount,likeCount,likeratio,viewratio,comment_sentiment
0,burger,yJS9HPeyu6A,2020-06-18T16:00:03Z,4398107.0,89661.0,47.090861344537814,6.986029439950705,0.21916399999999997
1,home,yJS9HPeyu6A,2020-06-18T16:00:03Z,4398107.0,89661.0,47.090861344537814,6.986029439950705,0.21916399999999997
2,ingredient,yJS9HPeyu6A,2020-06-18T16:00:03Z,4398107.0,89661.0,47.090861344537814,6.986029439950705,0.21916399999999997
3,swap,yJS9HPeyu6A,2020-06-18T16:00:03Z,4398107.0,89661.0,47.090861344537814,6.986029439950705,0.21916399999999997
4,cook,yJS9HPeyu6A,2020-06-18T16:00:03Z,4398107.0,89661.0,47.090861344537814,6.986029439950705,0.21916399999999997
5,chef,yJS9HPeyu6A,2020-06-18T16:00:03Z,4398107.0,89661.0,47.090861344537814,6.986029439950705,0.21916399999999997
6,basic,SntU6-vxzWc,2020-06-18T13:00:23Z,3624447.0,133812.0,92.53941908713693,0.7787318876958115,0.145246
7,toast,SntU6-vxzWc,2020-06-18T13:00:23Z,3624447.0,133812.0,92.53941908713693,0.7787318876958115,0.145246
8,ostrich,i-qCuzdlTpY,2020-06-14T16:00:15Z,2169463.0,50953.0,32.979288025889964,0.7470103888688092,0.030738
9,egg,i-qCuzdlTpY,2020-06-14T16:00:15Z,2169463.0,50953.0,32.979288025889964,0.7470103888688092,0.030738
10,gordon,i-qCuzdlTpY,2020-06-14T16:00:15Z,2169463.0,50953.0,32.979288025889964,0.7470103888688092,0.030738
11,gordon,Xr8hcRExCy4,2020-06-18T16:00:16Z,2037430.0,31388.0,51.71004942339374,0.7015475150269804,0.33114200000000005
12,recipe,Xr8hcRExCy4,2020-06-18T16:00:16Z,2037430.0,31388.0,51.71004942339374,0.7015475150269804,0.33114200000000005
13,home,Xr8hcRExCy4,2020-06-18T16:00:16Z,2037430.0,31388.0,51.71004942339374,0.7015475150269804,0.33114200000000005
14,simple,Xr8hcRExCy4,2020-06-18T16:00:16Z,2037430.0,31388.0,51.71004942339374,0.7015475150269804,0.33114200000000005
15,part,Xr8hcRExCy4,2020-06-18T16:00:16Z,2037430.0,31388.0,51.71004942339374,0.7015475150269804,0.33114200000000005
16,dish,zS_o6psOt9g,2020-06-18T08:45:20Z,1701570.0,28163.0,69.53827160493827,1.2372474163524962,0.034162
17,cheese,zS_o6psOt9g,2020-06-18T08:45:20Z,1701570.0,28163.0,69.53827160493827,1.2372474163524962,0.034162
18,charm,zS_o6psOt9g,2020-06-18T08:45:20Z,1701570.0,28163.0,69.53827160493827,1.2372474163524962,0.034162
19,corn,zS_o6psOt9g,2020-06-18T08:45:20Z,1701570.0,28163.0,69.53827160493827,1.2372474163524962,0.034162
20,kabita,JupJtfiNn2M,2020-06-20T07:07:32Z,1628991.0,34041.0,21.877249357326477,1.0720612967571679,0.46504199999999996
21,recipe,JupJtfiNn2M,2020-06-20T07:07:32Z,1628991.0,34041.0,21.877249357326477,1.0720612967571679,0.46504199999999996
22,dhaba,JupJtfiNn2M,2020-06-20T07:07:32Z,1628991.0,34041.0,21.877249357326477,1.0720612967571679,0.46504199999999996
23,style,JupJtfiNn2M,2020-06-20T07:07:32Z,1628991.0,34041.0,21.877249357326477,1.0720612967571679,0.46504199999999996
24,dum,JupJtfiNn2M,2020-06-20T07:07:32Z,1628991.0,34041.0,21.877249357326477,1.0720612967571679,0.46504199999999996
25,way,JupJtfiNn2M,2020-06-20T07:07:32Z,1628991.0,34041.0,21.877249357326477,1.0720612967571679,0.46504199999999996
26,aloo,JupJtfiNn2M,2020-06-20T07:07:32Z,1628991.0,34041.0,21.877249357326477,1.0720612967571679,0.46504199999999996
27,potato,JupJtfiNn2M,2020-06-20T07:07:32Z,1628991.0,34041.0,21.877249357326477,1.0720612967571679,0.46504199999999996
28,routine,mthAmKIAT_M,2020-06-17T03:00:17Z,1249127.0,,,5.405649473519197,0.06459599999999999
29,kou,mthAmKIAT_M,2020-06-17T03:00:17Z,1249127.0,,,5.405649473519197,0.06459599999999999
30,shibasaki,mthAmKIAT_M,2020-06-17T03:00:17Z,1249127.0,,,5.405649473519197,0.06459599999999999
31,morning,mthAmKIAT_M,2020-06-17T03:00:17Z,1249127.0,,,5.405649473519197,0.06459599999999999
32,steak,Q47JOO2sYjA,2020-06-18T21:00:05Z,1207267.0,66219.0,33.545592705167174,4.955139229364941,-0.008963999999999995
33,way,Q47JOO2sYjA,2020-06-18T21:00:05Z,1207267.0,66219.0,33.545592705167174,4.955139229364941,-0.008963999999999995
34,rino,crcaJz3-DA0,2020-06-17T15:00:14Z,1171876.0,10121.0,30.211940298507464,11.125907999496814,0.027483999999999998
35,minami,crcaJz3-DA0,2020-06-17T15:00:14Z,1171876.0,10121.0,30.211940298507464,11.125907999496814,0.027483999999999998
36,beer,crcaJz3-DA0,2020-06-17T15:00:14Z,1171876.0,10121.0,30.211940298507464,11.125907999496814,0.027483999999999998
37,boyfriend,crcaJz3-DA0,2020-06-17T15:00:14Z,1171876.0,10121.0,30.211940298507464,11.125907999496814,0.027483999999999998
38,sashihara,crcaJz3-DA0,2020-06-17T15:00:14Z,1171876.0,10121.0,30.211940298507464,11.125907999496814,0.027483999999999998
39,tanaka,crcaJz3-DA0,2020-06-17T15:00:14Z,1171876.0,10121.0,30.211940298507464,11.125907999496814,0.027483999999999998
40,movie,crcaJz3-DA0,2020-06-17T15:00:14Z,1171876.0,10121.0,30.211940298507464,11.125907999496814,0.027483999999999998
41,question,crcaJz3-DA0,2020-06-17T15:00:14Z,1171876.0,10121.0,30.211940298507464,11.125907999496814,0.027483999999999998
42,immunity,v_Ic8dCPl1Y,2020-06-14T15:30:05Z,1127245.0,25001.0,31.8484076433121,3.589680675998907,0.30727
43,power,v_Ic8dCPl1Y,2020-06-14T15:30:05Z,1127245.0,25001.0,31.8484076433121,3.589680675998907,0.30727
44,food,v_Ic8dCPl1Y,2020-06-14T15:30:05Z,1127245.0,25001.0,31.8484076433121,3.589680675998907,0.30727
45,chicken,jDRr308mWuU,2020-06-16T10:25:36Z,1197452.0,35.0,35.0,3.221348872610885,0.24435
46,recipe,jDRr308mWuU,2020-06-16T10:25:36Z,1197452.0,35.0,35.0,3.221348872610885,0.24435
47,minute,jDRr308mWuU,2020-06-16T10:25:36Z,1197452.0,35.0,35.0,3.221348872610885,0.24435
48,ingredient,N7z6Z9LmUM4,2020-06-19T17:53:07Z,877475.0,69561.0,79.13651877133105,1.1209076842869086,0.19991199999999998
49,minute,N7z6Z9LmUM4,2020-06-19T17:53:07Z,877475.0,69561.0,79.13651877133105,1.1209076842869086,0.19991199999999998
50,breakfast,N7z6Z9LmUM4,2020-06-19T17:53:07Z,877475.0,69561.0,79.13651877133105,1.1209076842869086,0.19991199999999998
51,cris,NP-eJ8PuZS0,2020-06-17T14:00:19Z,862966.0,46549.0,107.00919540229886,1.5153091919222426,0.12489400000000002
52,hand,NP-eJ8PuZS0,2020-06-17T14:00:19Z,862966.0,46549.0,107.00919540229886,1.5153091919222426,0.12489400000000002
53,recipe,NP-eJ8PuZS0,2020-06-17T14:00:19Z,862966.0,46549.0,107.00919540229886,1.5153091919222426,0.12489400000000002
54,everything,NP-eJ8PuZS0,2020-06-17T14:00:19Z,862966.0,46549.0,107.00919540229886,1.5153091919222426,0.12489400000000002
55,flavor,NP-eJ8PuZS0,2020-06-17T14:00:19Z,862966.0,46549.0,107.00919540229886,1.5153091919222426,0.12489400000000002
56,pizza,NP-eJ8PuZS0,2020-06-17T14:00:19Z,862966.0,46549.0,107.00919540229886,1.5153091919222426,0.12489400000000002
57,encacahuatado,fETVvmg7yxE,2020-06-16T13:45:16Z,840992.0,38411.0,65.54778156996586,0.7212671273053957,0.21524000000000001
58,favorite,o3mOrJX0wWI,2020-06-15T17:38:42Z,853350.0,12.0,1.3333333333333333,7.94685224190913,0.2333666666666667
59,eatin,o3mOrJX0wWI,2020-06-15T17:38:42Z,853350.0,12.0,1.3333333333333333,7.94685224190913,0.2333666666666667
60,bbq,o3mOrJX0wWI,2020-06-15T17:38:42Z,853350.0,12.0,1.3333333333333333,7.94685224190913,0.2333666666666667
61,jjigae,nj-DjQFEZb0,2020-06-19T08:47:06Z,835381.0,11940.0,44.22222222222222,0.6074231350576025,0.038484
62,home,nj-DjQFEZb0,2020-06-19T08:47:06Z,835381.0,11940.0,44.22222222222222,0.6074231350576025,0.038484
63,sundubu,nj-DjQFEZb0,2020-06-19T08:47:06Z,835381.0,11940.0,44.22222222222222,0.6074231350576025,0.038484
64,need,nj-DjQFEZb0,2020-06-19T08:47:06Z,835381.0,11940.0,44.22222222222222,0.6074231350576025,0.038484
65,taste,nj-DjQFEZb0,2020-06-19T08:47:06Z,835381.0,11940.0,44.22222222222222,0.6074231350576025,0.038484
66,sauce,nj-DjQFEZb0,2020-06-19T08:47:06Z,835381.0,11940.0,44.22222222222222,0.6074231350576025,0.038484
67,density,JKZqaFpJHn0,2020-06-16T08:52:27Z,833897.0,16111.0,39.48774509803921,0.6063440873746584,0.123298
68,oatmeal,JKZqaFpJHn0,2020-06-16T08:52:27Z,833897.0,16111.0,39.48774509803921,0.6063440873746584,0.123298
69,oat,JKZqaFpJHn0,2020-06-16T08:52:27Z,833897.0,16111.0,39.48774509803921,0.6063440873746584,0.123298
70,jamie,crZ70qHR2A0,2020-06-14T11:55:57Z,798908.0,12328.0,42.80555555555556,1.753280199182764,0.33525600000000005
71,megamix,crZ70qHR2A0,2020-06-14T11:55:57Z,798908.0,12328.0,42.80555555555556,1.753280199182764,0.33525600000000005
72,pasta,crZ70qHR2A0,2020-06-14T11:55:57Z,798908.0,12328.0,42.80555555555556,1.753280199182764,0.33525600000000005
73,way,crZ70qHR2A0,2020-06-14T11:55:57Z,798908.0,12328.0,42.80555555555556,1.753280199182764,0.33525600000000005
74,oliver,crZ70qHR2A0,2020-06-14T11:55:57Z,798908.0,12328.0,42.80555555555556,1.753280199182764,0.33525600000000005
75,ingredient,6D0LiZXjzBE,2020-06-15T17:00:02Z,725688.0,68771.0,109.16031746031746,0.9854809271842806,0.034252000000000005
