,kw,id,publishTime,viewCount,likeCount,likeratio,viewratio,comment_sentiment
0,queso,RCwy0_Bso_s,2020-07-14T14:32:33Z,3025156.0,94.0,1.9583333333333333,5.938662764561145,
1,con,RCwy0_Bso_s,2020-07-14T14:32:33Z,3025156.0,94.0,1.9583333333333333,5.938662764561145,
2,la,RCwy0_Bso_s,2020-07-14T14:32:33Z,3025156.0,94.0,1.9583333333333333,5.938662764561145,
3,brasil,oEWcPY1e4Ag,2020-07-15T08:02:00Z,2377603.0,34984.0,41.25471698113208,1.6383387891794754,0.018664
4,part,oEWcPY1e4Ag,2020-07-15T08:02:00Z,2377603.0,34984.0,41.25471698113208,1.6383387891794754,0.018664
5,ep,oEWcPY1e4Ag,2020-07-15T08:02:00Z,2377603.0,34984.0,41.25471698113208,1.6383387891794754,0.018664
6,masterchef,oEWcPY1e4Ag,2020-07-15T08:02:00Z,2377603.0,34984.0,41.25471698113208,1.6383387891794754,0.018664
7,brasil,ADE2X19qbIc,2020-07-15T08:04:00Z,2138711.0,27650.0,44.959349593495936,1.4737250878909662,0.10789599999999998
8,part,ADE2X19qbIc,2020-07-15T08:04:00Z,2138711.0,27650.0,44.959349593495936,1.4737250878909662,0.10789599999999998
9,ep,ADE2X19qbIc,2020-07-15T08:04:00Z,2138711.0,27650.0,44.959349593495936,1.4737250878909662,0.10789599999999998
10,masterchef,ADE2X19qbIc,2020-07-15T08:04:00Z,2138711.0,27650.0,44.959349593495936,1.4737250878909662,0.10789599999999998
11,brasil,4BdunJO_dEk,2020-07-15T08:05:00Z,2124109.0,49324.0,35.43390804597701,1.4636632638607985,0.037422000000000004
12,part,4BdunJO_dEk,2020-07-15T08:05:00Z,2124109.0,49324.0,35.43390804597701,1.4636632638607985,0.037422000000000004
13,ep,4BdunJO_dEk,2020-07-15T08:05:00Z,2124109.0,49324.0,35.43390804597701,1.4636632638607985,0.037422000000000004
14,masterchef,4BdunJO_dEk,2020-07-15T08:05:00Z,2124109.0,49324.0,35.43390804597701,1.4636632638607985,0.037422000000000004
15,love,dNGed9DxpI8,2020-07-13T18:30:04Z,1881834.0,170108.0,83.18239608801956,2.5284432664111622,0.04745200000000001
16,crisp,dNGed9DxpI8,2020-07-13T18:30:04Z,1881834.0,170108.0,83.18239608801956,2.5284432664111622,0.04745200000000001
17,hate,dNGed9DxpI8,2020-07-13T18:30:04Z,1881834.0,170108.0,83.18239608801956,2.5284432664111622,0.04745200000000001
18,jacquin,dNGed9DxpI8,2020-07-13T18:30:04Z,1881834.0,170108.0,83.18239608801956,2.5284432664111622,0.04745200000000001
19,gordon,fiq1RuICtZU,2020-07-12T16:00:30Z,1608675.0,36249.0,27.64988558352403,0.5544234810283738,0.19366999999999998
20,spiciest,fiq1RuICtZU,2020-07-12T16:00:30Z,1608675.0,36249.0,27.64988558352403,0.5544234810283738,0.19366999999999998
21,egg,fiq1RuICtZU,2020-07-12T16:00:30Z,1608675.0,36249.0,27.64988558352403,0.5544234810283738,0.19366999999999998
22,one,jl84QblsNP8,2020-07-16T15:00:11Z,1480270.0,34145.0,52.93798449612403,0.5277307693388741,0.23721399999999995
23,spicy,jl84QblsNP8,2020-07-16T15:00:11Z,1480270.0,34145.0,52.93798449612403,0.5277307693388741,0.23721399999999995
24,levy,jl84QblsNP8,2020-07-16T15:00:11Z,1480270.0,34145.0,52.93798449612403,0.5277307693388741,0.23721399999999995
25,wing,jl84QblsNP8,2020-07-16T15:00:11Z,1480270.0,34145.0,52.93798449612403,0.5277307693388741,0.23721399999999995
26,dan,jl84QblsNP8,2020-07-16T15:00:11Z,1480270.0,34145.0,52.93798449612403,0.5277307693388741,0.23721399999999995
27,mandu,3utCtVG1Gh0,2020-07-15T13:07:20Z,1092075.0,41495.0,68.70033112582782,0.8317001505412474,0.451114
28,dumpling,3utCtVG1Gh0,2020-07-15T13:07:20Z,1092075.0,41495.0,68.70033112582782,0.8317001505412474,0.451114
29,ontario,7HofAMllQDI,2020-07-14T19:44:27Z,892535.0,6.0,inf,7.925189500055141,
30,taste,7HofAMllQDI,2020-07-14T19:44:27Z,892535.0,6.0,inf,7.925189500055141,
31,home,7HofAMllQDI,2020-07-14T19:44:27Z,892535.0,6.0,inf,7.925189500055141,
32,country,7HofAMllQDI,2020-07-14T19:44:27Z,892535.0,6.0,inf,7.925189500055141,
33,embrace,7HofAMllQDI,2020-07-14T19:44:27Z,892535.0,6.0,inf,7.925189500055141,
34,vqa,7HofAMllQDI,2020-07-14T19:44:27Z,892535.0,6.0,inf,7.925189500055141,
35,ice,w9XTC6_oxAw,2020-07-18T15:42:41Z,890872.0,40571.0,81.46787148594377,0.21371712484570146,0.29870599999999997
36,cream,w9XTC6_oxAw,2020-07-18T15:42:41Z,890872.0,40571.0,81.46787148594377,0.21371712484570146,0.29870599999999997
37,blender,w9XTC6_oxAw,2020-07-18T15:42:41Z,890872.0,40571.0,81.46787148594377,0.21371712484570146,0.29870599999999997
38,recipe,w9XTC6_oxAw,2020-07-18T15:42:41Z,890872.0,40571.0,81.46787148594377,0.21371712484570146,0.29870599999999997
39,gordon,J0ZeVTHWC1U,2020-07-16T16:00:10Z,735080.0,17763.0,55.85849056603774,0.2533424168550745,0.308352
40,skill,J0ZeVTHWC1U,2020-07-16T16:00:10Z,735080.0,17763.0,55.85849056603774,0.2533424168550745,0.308352
41,recipe,J0ZeVTHWC1U,2020-07-16T16:00:10Z,735080.0,17763.0,55.85849056603774,0.2533424168550745,0.308352
42,dika,b9ifyJBW1q4,2020-07-17T15:00:11Z,670431.0,46662.0,133.32,3.4482411118705425,0.13923
43,cake,b9ifyJBW1q4,2020-07-17T15:00:11Z,670431.0,46662.0,133.32,3.4482411118705425,0.13923
44,super,b9ifyJBW1q4,2020-07-17T15:00:11Z,670431.0,46662.0,133.32,3.4482411118705425,0.13923
45,naka,b9ifyJBW1q4,2020-07-17T15:00:11Z,670431.0,46662.0,133.32,3.4482411118705425,0.13923
46,da,b9ifyJBW1q4,2020-07-17T15:00:11Z,670431.0,46662.0,133.32,3.4482411118705425,0.13923
47,sensation,b9ifyJBW1q4,2020-07-17T15:00:11Z,670431.0,46662.0,133.32,3.4482411118705425,0.13923
48,ice,XMXigGcsVlM,2020-07-16T20:15:00Z,501745.0,44854.0,112.9823677581864,1.1779019583738233,0.10971199999999999
49,dessert,XMXigGcsVlM,2020-07-16T20:15:00Z,501745.0,44854.0,112.9823677581864,1.1779019583738233,0.10971199999999999
50,plate,XMXigGcsVlM,2020-07-16T20:15:00Z,501745.0,44854.0,112.9823677581864,1.1779019583738233,0.10971199999999999
51,fire,XMXigGcsVlM,2020-07-16T20:15:00Z,501745.0,44854.0,112.9823677581864,1.1779019583738233,0.10971199999999999
52,freitas,XMXigGcsVlM,2020-07-16T20:15:00Z,501745.0,44854.0,112.9823677581864,1.1779019583738233,0.10971199999999999
53,milk,XMXigGcsVlM,2020-07-16T20:15:00Z,501745.0,44854.0,112.9823677581864,1.1779019583738233,0.10971199999999999
54,gabriel,XMXigGcsVlM,2020-07-16T20:15:00Z,501745.0,44854.0,112.9823677581864,1.1779019583738233,0.10971199999999999
55,dika,r1fk7q42QLA,2020-07-14T15:00:21Z,499956.0,35525.0,133.55263157894737,2.5714336498854453,0.08199
56,wet,r1fk7q42QLA,2020-07-14T15:00:21Z,499956.0,35525.0,133.55263157894737,2.5714336498854453,0.08199
57,recipe,r1fk7q42QLA,2020-07-14T15:00:21Z,499956.0,35525.0,133.55263157894737,2.5714336498854453,0.08199
58,naka,r1fk7q42QLA,2020-07-14T15:00:21Z,499956.0,35525.0,133.55263157894737,2.5714336498854453,0.08199
59,craquelado,r1fk7q42QLA,2020-07-14T15:00:21Z,499956.0,35525.0,133.55263157894737,2.5714336498854453,0.08199
60,da,r1fk7q42QLA,2020-07-14T15:00:21Z,499956.0,35525.0,133.55263157894737,2.5714336498854453,0.08199
61,brownie,r1fk7q42QLA,2020-07-14T15:00:21Z,499956.0,35525.0,133.55263157894737,2.5714336498854453,0.08199
62,i,r1fk7q42QLA,2020-07-14T15:00:21Z,499956.0,35525.0,133.55263157894737,2.5714336498854453,0.08199
63,toy,L9zuMPDv9RY,2020-07-18T05:00:03Z,463318.0,2610.0,3.23019801980198,0.27665792540931305,
64,game,L9zuMPDv9RY,2020-07-18T05:00:03Z,463318.0,2610.0,3.23019801980198,0.27665792540931305,
65,imitation,L9zuMPDv9RY,2020-07-18T05:00:03Z,463318.0,2610.0,3.23019801980198,0.27665792540931305,
66,grill,L9zuMPDv9RY,2020-07-18T05:00:03Z,463318.0,2610.0,3.23019801980198,0.27665792540931305,
67,barbecue,L9zuMPDv9RY,2020-07-18T05:00:03Z,463318.0,2610.0,3.23019801980198,0.27665792540931305,
68,landos,KjjcYshtuRM,2020-07-13T12:42:21Z,486815.0,15.0,inf,2.476175485872015,0.0
69,solgarstories,KjjcYshtuRM,2020-07-13T12:42:21Z,486815.0,15.0,inf,2.476175485872015,0.0
70,angelos,KjjcYshtuRM,2020-07-13T12:42:21Z,486815.0,15.0,inf,2.476175485872015,0.0
71,snack,i7LxrgPtiSE,2020-07-18T08:35:59Z,409156.0,14495.0,37.26221079691517,0.269996432261627,0.46164
72,time,i7LxrgPtiSE,2020-07-18T08:35:59Z,409156.0,14495.0,37.26221079691517,0.269996432261627,0.46164
73,crunchy,i7LxrgPtiSE,2020-07-18T08:35:59Z,409156.0,14495.0,37.26221079691517,0.269996432261627,0.46164
74,spicy,i7LxrgPtiSE,2020-07-18T08:35:59Z,409156.0,14495.0,37.26221079691517,0.269996432261627,0.46164
75,kabitaskitchen,i7LxrgPtiSE,2020-07-18T08:35:59Z,409156.0,14495.0,37.26221079691517,0.269996432261627,0.46164
76,pakoda,i7LxrgPtiSE,2020-07-18T08:35:59Z,409156.0,14495.0,37.26221079691517,0.269996432261627,0.46164
77,tea,i7LxrgPtiSE,2020-07-18T08:35:59Z,409156.0,14495.0,37.26221079691517,0.269996432261627,0.46164
78,dal,i7LxrgPtiSE,2020-07-18T08:35:59Z,409156.0,14495.0,37.26221079691517,0.269996432261627,0.46164
79,pakoras,i7LxrgPtiSE,2020-07-18T08:35:59Z,409156.0,14495.0,37.26221079691517,0.269996432261627,0.46164
80,history,Efmh3-08MFI,2020-07-14T01:00:01Z,397536.0,10280.0,53.26424870466321,0.5819036745057309,0.23666200000000004
81,chef,Efmh3-08MFI,2020-07-14T01:00:01Z,397536.0,10280.0,53.26424870466321,0.5819036745057309,0.23666200000000004
82,food,Efmh3-08MFI,2020-07-14T01:00:01Z,397536.0,10280.0,53.26424870466321,0.5819036745057309,0.23666200000000004
83,step,AOIIDOpoZwA,2020-07-16T12:59:37Z,357150.0,24201.0,99.5925925925926,1.7582825683988819,0.062854
84,cake,AOIIDOpoZwA,2020-07-16T12:59:37Z,357150.0,24201.0,99.5925925925926,1.7582825683988819,0.062854
85,tutorial,AOIIDOpoZwA,2020-07-16T12:59:37Z,357150.0,24201.0,99.5925925925926,1.7582825683988819,0.062854
86,recipe,AOIIDOpoZwA,2020-07-16T12:59:37Z,357150.0,24201.0,99.5925925925926,1.7582825683988819,0.062854
87,domínguez,AOIIDOpoZwA,2020-07-16T12:59:37Z,357150.0,24201.0,99.5925925925926,1.7582825683988819,0.062854
88,tikkis,rVqpMMr5IJ0,2020-07-16T10:21:05Z,343855.0,18317.0,35.29287090558767,0.22690519805482934,0.468748
89,kabitaskitchen,rVqpMMr5IJ0,2020-07-16T10:21:05Z,343855.0,18317.0,35.29287090558767,0.22690519805482934,0.468748
90,veg,rVqpMMr5IJ0,2020-07-16T10:21:05Z,343855.0,18317.0,35.29287090558767,0.22690519805482934,0.468748
91,recipe,rVqpMMr5IJ0,2020-07-16T10:21:05Z,343855.0,18317.0,35.29287090558767,0.22690519805482934,0.468748
92,paneer,rVqpMMr5IJ0,2020-07-16T10:21:05Z,343855.0,18317.0,35.29287090558767,0.22690519805482934,0.468748
93,burger,rVqpMMr5IJ0,2020-07-16T10:21:05Z,343855.0,18317.0,35.29287090558767,0.22690519805482934,0.468748
94,work,vSdYOX2824k,2020-07-15T03:00:15Z,305585.0,,,1.3107551304193348,0.07252200000000002
95,shibasaki,vSdYOX2824k,2020-07-15T03:00:15Z,305585.0,,,1.3107551304193348,0.07252200000000002
96,question,vSdYOX2824k,2020-07-15T03:00:15Z,305585.0,,,1.3107551304193348,0.07252200000000002
97,answer,vSdYOX2824k,2020-07-15T03:00:15Z,305585.0,,,1.3107551304193348,0.07252200000000002
98,yogurt,hOfOOnc2x0I,2020-07-15T15:58:33Z,300269.0,179.0,59.666666666666664,2.9444652258120754,0.21800416666666664
99,blueberry,hOfOOnc2x0I,2020-07-15T15:58:33Z,300269.0,179.0,59.666666666666664,2.9444652258120754,0.21800416666666664
100,dessert,hOfOOnc2x0I,2020-07-15T15:58:33Z,300269.0,179.0,59.666666666666664,2.9444652258120754,0.21800416666666664
101,recipe,hOfOOnc2x0I,2020-07-15T15:58:33Z,300269.0,179.0,59.666666666666664,2.9444652258120754,0.21800416666666664
102,spain,hOfOOnc2x0I,2020-07-15T15:58:33Z,300269.0,179.0,59.666666666666664,2.9444652258120754,0.21800416666666664
103,ice,BX_663gcWms,2020-07-18T18:15:11Z,304555.0,14078.0,45.41290322580645,3.566432294772427,0.09940199999999999
104,ingredient,BX_663gcWms,2020-07-18T18:15:11Z,304555.0,14078.0,45.41290322580645,3.566432294772427,0.09940199999999999
105,minute,BX_663gcWms,2020-07-18T18:15:11Z,304555.0,14078.0,45.41290322580645,3.566432294772427,0.09940199999999999
106,machine,BX_663gcWms,2020-07-18T18:15:11Z,304555.0,14078.0,45.41290322580645,3.566432294772427,0.09940199999999999
107,flavor,BX_663gcWms,2020-07-18T18:15:11Z,304555.0,14078.0,45.41290322580645,3.566432294772427,0.09940199999999999
108,homemade,BX_663gcWms,2020-07-18T18:15:11Z,304555.0,14078.0,45.41290322580645,3.566432294772427,0.09940199999999999
109,cream,BX_663gcWms,2020-07-18T18:15:11Z,304555.0,14078.0,45.41290322580645,3.566432294772427,0.09940199999999999
110,super,7bQBbesYSTs,2020-07-15T15:00:02Z,265510.0,25952.0,114.83185840707965,1.365602869814713,0.15439799999999995
111,amazing,7bQBbesYSTs,2020-07-15T15:00:02Z,265510.0,25952.0,114.83185840707965,1.365602869814713,0.15439799999999995
