,kw,id,publishTime,viewCount,likeCount,likeratio,viewratio,comment_sentiment
0,panda,Uy7Ej1gvTPY,2020-08-17T17:25:57Z,6313653.0,23.0,11.5,16.13802908594204,0.171675
1,breast,Uy7Ej1gvTPY,2020-08-17T17:25:57Z,6313653.0,23.0,11.5,16.13802908594204,0.171675
2,honey,Uy7Ej1gvTPY,2020-08-17T17:25:57Z,6313653.0,23.0,11.5,16.13802908594204,0.171675
3,express,Uy7Ej1gvTPY,2020-08-17T17:25:57Z,6313653.0,23.0,11.5,16.13802908594204,0.171675
4,spot,Uy7Ej1gvTPY,2020-08-17T17:25:57Z,6313653.0,23.0,11.5,16.13802908594204,0.171675
5,sesame,Uy7Ej1gvTPY,2020-08-17T17:25:57Z,6313653.0,23.0,11.5,16.13802908594204,0.171675
6,play,YhkJHKNcJ5g,2020-08-18T12:00:06Z,5665301.0,21657.0,2.5505829702037452,0.13910161522202175,
7,emma,YhkJHKNcJ5g,2020-08-18T12:00:06Z,5665301.0,21657.0,2.5505829702037452,0.13910161522202175,
8,fruit,YhkJHKNcJ5g,2020-08-18T12:00:06Z,5665301.0,21657.0,2.5505829702037452,0.13910161522202175,
9,vegetable,YhkJHKNcJ5g,2020-08-18T12:00:06Z,5665301.0,21657.0,2.5505829702037452,0.13910161522202175,
10,cream,YhkJHKNcJ5g,2020-08-18T12:00:06Z,5665301.0,21657.0,2.5505829702037452,0.13910161522202175,
11,capital,Y0WDQRo704E,2020-08-19T21:00:17Z,4908422.0,242428.0,71.72426035502959,1.1080874962554694,0.04646799999999999
12,burger,Y0WDQRo704E,2020-08-19T21:00:17Z,4908422.0,242428.0,71.72426035502959,1.1080874962554694,0.04646799999999999
13,rib,Y0WDQRo704E,2020-08-19T21:00:17Z,4908422.0,242428.0,71.72426035502959,1.1080874962554694,0.04646799999999999
14,cream,uW5oU6rADqM,2020-08-21T18:26:38Z,4781170.0,12.0,3.0,3.770616735749912,-0.148
15,eggporkalypse,NWGVFi-213w,2020-08-18T13:00:09Z,3081687.0,183706.0,242.3562005277045,0.6630892950053198,0.19816199999999998
16,park,NWGVFi-213w,2020-08-18T13:00:09Z,3081687.0,183706.0,242.3562005277045,0.6630892950053198,0.19816199999999998
17,horsemeals,NWGVFi-213w,2020-08-18T13:00:09Z,3081687.0,183706.0,242.3562005277045,0.6630892950053198,0.19816199999999998
18,experiment,evhqAvvB_dU,2020-08-16T12:00:16Z,3042631.0,10535.0,2.926388888888889,0.13161479830758252,
19,dig,evhqAvvB_dU,2020-08-16T12:00:16Z,3042631.0,10535.0,2.926388888888889,0.13161479830758252,
20,diy,evhqAvvB_dU,2020-08-16T12:00:16Z,3042631.0,10535.0,2.926388888888889,0.13161479830758252,
21,science,evhqAvvB_dU,2020-08-16T12:00:16Z,3042631.0,10535.0,2.926388888888889,0.13161479830758252,
22,kid,evhqAvvB_dU,2020-08-16T12:00:16Z,3042631.0,10535.0,2.926388888888889,0.13161479830758252,
23,exploration,evhqAvvB_dU,2020-08-16T12:00:16Z,3042631.0,10535.0,2.926388888888889,0.13161479830758252,
24,fossil,evhqAvvB_dU,2020-08-16T12:00:16Z,3042631.0,10535.0,2.926388888888889,0.13161479830758252,
25,dish,suLIxs5ry-E,2020-08-18T20:00:11Z,2427863.0,92916.0,80.65625,5.143499530125909,0.304506
26,crush,suLIxs5ry-E,2020-08-18T20:00:11Z,2427863.0,92916.0,80.65625,5.143499530125909,0.304506
27,beck,suLIxs5ry-E,2020-08-18T20:00:11Z,2427863.0,92916.0,80.65625,5.143499530125909,0.304506
28,cupcake,suLIxs5ry-E,2020-08-18T20:00:11Z,2427863.0,92916.0,80.65625,5.143499530125909,0.304506
29,tik,suLIxs5ry-E,2020-08-18T20:00:11Z,2427863.0,92916.0,80.65625,5.143499530125909,0.304506
30,time,GriVUALC6Wg,2020-08-20T15:00:13Z,2207039.0,68223.0,54.3609561752988,0.7868310439520488,0.314478
31,one,GriVUALC6Wg,2020-08-20T15:00:13Z,2207039.0,68223.0,54.3609561752988,0.7868310439520488,0.314478
32,drew,GriVUALC6Wg,2020-08-20T15:00:13Z,2207039.0,68223.0,54.3609561752988,0.7868310439520488,0.314478
33,barrymore,GriVUALC6Wg,2020-08-20T15:00:13Z,2207039.0,68223.0,54.3609561752988,0.7868310439520488,0.314478
34,wing,GriVUALC6Wg,2020-08-20T15:00:13Z,2207039.0,68223.0,54.3609561752988,0.7868310439520488,0.314478
35,sub,tdZmTAAJLxI,2020-08-21T14:15:11Z,1990497.0,20760.0,51.9,1.500673573646151,0.077086
36,mistake,tdZmTAAJLxI,2020-08-21T14:15:11Z,1990497.0,20760.0,51.9,1.500673573646151,0.077086
37,menu,tdZmTAAJLxI,2020-08-21T14:15:11Z,1990497.0,20760.0,51.9,1.500673573646151,0.077086
38,human,tdZmTAAJLxI,2020-08-21T14:15:11Z,1990497.0,20760.0,51.9,1.500673573646151,0.077086
39,excitement,tdZmTAAJLxI,2020-08-21T14:15:11Z,1990497.0,20760.0,51.9,1.500673573646151,0.077086
40,alone,tdZmTAAJLxI,2020-08-21T14:15:11Z,1990497.0,20760.0,51.9,1.500673573646151,0.077086
41,transplant,tdZmTAAJLxI,2020-08-21T14:15:11Z,1990497.0,20760.0,51.9,1.500673573646151,0.077086
42,version,tdZmTAAJLxI,2020-08-21T14:15:11Z,1990497.0,20760.0,51.9,1.500673573646151,0.077086
43,ranch,BPoJDh8oW04,2020-08-20T19:00:03Z,1893545.0,86156.0,58.174206617150574,1.0544035171356734,0.19269200000000006
44,lunch,BPoJDh8oW04,2020-08-20T19:00:03Z,1893545.0,86156.0,58.174206617150574,1.0544035171356734,0.19269200000000006
45,today,BPoJDh8oW04,2020-08-20T19:00:03Z,1893545.0,86156.0,58.174206617150574,1.0544035171356734,0.19269200000000006
46,kitchen,BPoJDh8oW04,2020-08-20T19:00:03Z,1893545.0,86156.0,58.174206617150574,1.0544035171356734,0.19269200000000006
47,man,BPoJDh8oW04,2020-08-20T19:00:03Z,1893545.0,86156.0,58.174206617150574,1.0544035171356734,0.19269200000000006
48,i,BPoJDh8oW04,2020-08-20T19:00:03Z,1893545.0,86156.0,58.174206617150574,1.0544035171356734,0.19269200000000006
49,teaser,zI13WOMUtVE,2020-08-20T08:27:46Z,1832583.0,15.0,3.0,4.315444031246403,
50,concours,zI13WOMUtVE,2020-08-20T08:27:46Z,1832583.0,15.0,3.0,4.315444031246403,
51,academy,zI13WOMUtVE,2020-08-20T08:27:46Z,1832583.0,15.0,3.0,4.315444031246403,
52,pan,v5ikvH4bE_I,2020-08-21T14:25:02Z,1712022.0,70856.0,52.83818046234153,1.475570332382837,0.221238
53,pancake,v5ikvH4bE_I,2020-08-21T14:25:02Z,1712022.0,70856.0,52.83818046234153,1.475570332382837,0.221238
54,tuna,v5ikvH4bE_I,2020-08-21T14:25:02Z,1712022.0,70856.0,52.83818046234153,1.475570332382837,0.221238
55,mouth,v5ikvH4bE_I,2020-08-21T14:25:02Z,1712022.0,70856.0,52.83818046234153,1.475570332382837,0.221238
56,brasil,tFZBo-5VY1I,2020-08-19T08:00:09Z,1645831.0,21553.0,40.43714821763602,1.1340954598955524,0.024409999999999998
57,part,tFZBo-5VY1I,2020-08-19T08:00:09Z,1645831.0,21553.0,40.43714821763602,1.1340954598955524,0.024409999999999998
