,kw,id,publishTime,viewCount,likeCount,likeratio,viewratio,comment_sentiment
0,dosa,9ugZ3_scP0c,2020-01-04T12:29:43Z,5731083.0,95241.0,19.879148403256107,30.84798138508067,0.49233000000000005
1,chutney,9ugZ3_scP0c,2020-01-04T12:29:43Z,5731083.0,95241.0,19.879148403256107,30.84798138508067,0.49233000000000005
2,idli,9ugZ3_scP0c,2020-01-04T12:29:43Z,5731083.0,95241.0,19.879148403256107,30.84798138508067,0.49233000000000005
3,recipe,9ugZ3_scP0c,2020-01-04T12:29:43Z,5731083.0,95241.0,19.879148403256107,30.84798138508067,0.49233000000000005
4,deepu,9ugZ3_scP0c,2020-01-04T12:29:43Z,5731083.0,95241.0,19.879148403256107,30.84798138508067,0.49233000000000005
5,sauce,9ugZ3_scP0c,2020-01-04T12:29:43Z,5731083.0,95241.0,19.879148403256107,30.84798138508067,0.49233000000000005
6,hindi,9ugZ3_scP0c,2020-01-04T12:29:43Z,5731083.0,95241.0,19.879148403256107,30.84798138508067,0.49233000000000005
7,bon,lF2sKFnuALw,2019-12-30T17:00:04Z,5000247.0,83457.0,55.232958305757776,4.125666111094116,0.20734200000000003
8,sandwich,lF2sKFnuALw,2019-12-30T17:00:04Z,5000247.0,83457.0,55.232958305757776,4.125666111094116,0.20734200000000003
9,talk,lF2sKFnuALw,2019-12-30T17:00:04Z,5000247.0,83457.0,55.232958305757776,4.125666111094116,0.20734200000000003
10,test,lF2sKFnuALw,2019-12-30T17:00:04Z,5000247.0,83457.0,55.232958305757776,4.125666111094116,0.20734200000000003
11,kitchen,lF2sKFnuALw,2019-12-30T17:00:04Z,5000247.0,83457.0,55.232958305757776,4.125666111094116,0.20734200000000003
12,chef,lF2sKFnuALw,2019-12-30T17:00:04Z,5000247.0,83457.0,55.232958305757776,4.125666111094116,0.20734200000000003
13,appétit,lF2sKFnuALw,2019-12-30T17:00:04Z,5000247.0,83457.0,55.232958305757776,4.125666111094116,0.20734200000000003
14,expert,byiVjrJaOnc,2020-01-02T17:00:04Z,2159681.0,39226.0,18.485391140433553,3.4303120753428638,0.095212
15,gadget,byiVjrJaOnc,2020-01-02T17:00:04Z,2159681.0,39226.0,18.485391140433553,3.4303120753428638,0.095212
16,egg,byiVjrJaOnc,2020-01-02T17:00:04Z,2159681.0,39226.0,18.485391140433553,3.4303120753428638,0.095212
17,design,byiVjrJaOnc,2020-01-02T17:00:04Z,2159681.0,39226.0,18.485391140433553,3.4303120753428638,0.095212
18,princess,1CTqp3JVtcg,2019-12-29T20:10:44Z,2124072.0,9111.0,2.4717851329354312,0.4404969803336219,
19,nurse,1CTqp3JVtcg,2019-12-29T20:10:44Z,2124072.0,9111.0,2.4717851329354312,0.4404969803336219,
20,peppa,1CTqp3JVtcg,2019-12-29T20:10:44Z,2124072.0,9111.0,2.4717851329354312,0.4404969803336219,
21,cooking,1CTqp3JVtcg,2019-12-29T20:10:44Z,2124072.0,9111.0,2.4717851329354312,0.4404969803336219,
22,pig,1CTqp3JVtcg,2019-12-29T20:10:44Z,2124072.0,9111.0,2.4717851329354312,0.4404969803336219,
23,chef,1CTqp3JVtcg,2019-12-29T20:10:44Z,2124072.0,9111.0,2.4717851329354312,0.4404969803336219,
24,medic,1CTqp3JVtcg,2019-12-29T20:10:44Z,2124072.0,9111.0,2.4717851329354312,0.4404969803336219,
25,carry,1CTqp3JVtcg,2019-12-29T20:10:44Z,2124072.0,9111.0,2.4717851329354312,0.4404969803336219,
26,case,1CTqp3JVtcg,2019-12-29T20:10:44Z,2124072.0,9111.0,2.4717851329354312,0.4404969803336219,
27,trade,HChukhwE1do,2020-01-03T09:00:15Z,1865313.0,22719.0,38.70357751277683,1.355990970256273,0.081412
28,log,HChukhwE1do,2020-01-03T09:00:15Z,1865313.0,22719.0,38.70357751277683,1.355990970256273,0.081412
29,cooking,HChukhwE1do,2020-01-03T09:00:15Z,1865313.0,22719.0,38.70357751277683,1.355990970256273,0.081412
30,shock,HChukhwE1do,2020-01-03T09:00:15Z,1865313.0,22719.0,38.70357751277683,1.355990970256273,0.081412
31,secret,HChukhwE1do,2020-01-03T09:00:15Z,1865313.0,22719.0,38.70357751277683,1.355990970256273,0.081412
32,course,WNABbYLsyuE,2019-12-29T17:00:07Z,1513409.0,23117.0,56.38292682926829,0.521077014329617,0.308898
33,gordon,WNABbYLsyuE,2019-12-29T17:00:07Z,1513409.0,23117.0,56.38292682926829,0.521077014329617,0.308898
34,food,WNABbYLsyuE,2019-12-29T17:00:07Z,1513409.0,23117.0,56.38292682926829,0.521077014329617,0.308898
35,cookery,WNABbYLsyuE,2019-12-29T17:00:07Z,1513409.0,23117.0,56.38292682926829,0.521077014329617,0.308898
36,ramen,QJBcq--GrVo,2020-01-03T19:00:03Z,1398254.0,30075.0,46.41203703703704,2.0367959128213764,0.158772
37,cake,QJBcq--GrVo,2020-01-03T19:00:03Z,1398254.0,30075.0,46.41203703703704,2.0367959128213764,0.158772
38,coconut,74j9qany7Kk,2020-01-03T13:57:26Z,1281816.0,3.0,inf,7.899009817724684,
39,smoothie,74j9qany7Kk,2020-01-03T13:57:26Z,1281816.0,3.0,inf,7.899009817724684,
40,matcha,74j9qany7Kk,2020-01-03T13:57:26Z,1281816.0,3.0,inf,7.899009817724684,
41,log,SZp5fTHZnmc,2019-12-31T04:56:53Z,1208564.0,14658.0,30.098562628336754,0.8785666914758017,0.064636
42,meat,SZp5fTHZnmc,2019-12-31T04:56:53Z,1208564.0,14658.0,30.098562628336754,0.8785666914758017,0.064636
43,family,SZp5fTHZnmc,2019-12-31T04:56:53Z,1208564.0,14658.0,30.098562628336754,0.8785666914758017,0.064636
44,home,SZp5fTHZnmc,2019-12-31T04:56:53Z,1208564.0,14658.0,30.098562628336754,0.8785666914758017,0.064636
45,dumpling,SZp5fTHZnmc,2019-12-31T04:56:53Z,1208564.0,14658.0,30.098562628336754,0.8785666914758017,0.064636
46,cooking,SZp5fTHZnmc,2019-12-31T04:56:53Z,1208564.0,14658.0,30.098562628336754,0.8785666914758017,0.064636
47,bon,d7-rHrgqqiE,2020-01-02T17:00:08Z,1151811.0,27792.0,73.71883289124668,0.9503505744987047,0.251782
48,pasta,d7-rHrgqqiE,2020-01-02T17:00:08Z,1151811.0,27792.0,73.71883289124668,0.9503505744987047,0.251782
49,chris,d7-rHrgqqiE,2020-01-02T17:00:08Z,1151811.0,27792.0,73.71883289124668,0.9503505744987047,0.251782
50,test,d7-rHrgqqiE,2020-01-02T17:00:08Z,1151811.0,27792.0,73.71883289124668,0.9503505744987047,0.251782
51,kitchen,d7-rHrgqqiE,2020-01-02T17:00:08Z,1151811.0,27792.0,73.71883289124668,0.9503505744987047,0.251782
52,appétit,d7-rHrgqqiE,2020-01-02T17:00:08Z,1151811.0,27792.0,73.71883289124668,0.9503505744987047,0.251782
53,star,ceeai94W4Kk,2019-12-29T03:32:55Z,858799.0,22518.0,56.43609022556391,0.2051883405408768,0.25481200000000004
54,war,ceeai94W4Kk,2019-12-29T03:32:55Z,858799.0,22518.0,56.43609022556391,0.2051883405408768,0.25481200000000004
55,nummies,ceeai94W4Kk,2019-12-29T03:32:55Z,858799.0,22518.0,56.43609022556391,0.2051883405408768,0.25481200000000004
56,milk,ceeai94W4Kk,2019-12-29T03:32:55Z,858799.0,22518.0,56.43609022556391,0.2051883405408768,0.25481200000000004
57,starbucks,llwyY4BDbfc,2020-01-01T17:00:16Z,841139.0,12617.0,34.37874659400545,18.000267511962342,0.06120000000000001
58,coffee,llwyY4BDbfc,2020-01-01T17:00:16Z,841139.0,12617.0,34.37874659400545,18.000267511962342,0.06120000000000001
59,market,llwyY4BDbfc,2020-01-01T17:00:16Z,841139.0,12617.0,34.37874659400545,18.000267511962342,0.06120000000000001
60,dessert,eERsqSxacic,2020-01-04T11:13:57Z,825998.0,10929.0,23.00842105263158,1.2680724355337638,0.367126
61,type,eERsqSxacic,2020-01-04T11:13:57Z,825998.0,10929.0,23.00842105263158,1.2680724355337638,0.367126
62,festival,eERsqSxacic,2020-01-04T11:13:57Z,825998.0,10929.0,23.00842105263158,1.2680724355337638,0.367126
63,jaggery,eERsqSxacic,2020-01-04T11:13:57Z,825998.0,10929.0,23.00842105263158,1.2680724355337638,0.367126
64,sweet,eERsqSxacic,2020-01-04T11:13:57Z,825998.0,10929.0,23.00842105263158,1.2680724355337638,0.367126
65,sugar,eERsqSxacic,2020-01-04T11:13:57Z,825998.0,10929.0,23.00842105263158,1.2680724355337638,0.367126
66,cake,FdBBXwhRIOs,2020-01-03T09:00:04Z,744151.0,8185.0,10.602331606217616,6.745311061937868,0.16938199999999998
67,cooking,FdBBXwhRIOs,2020-01-03T09:00:04Z,744151.0,8185.0,10.602331606217616,6.745311061937868,0.16938199999999998
